Sentence,Error Type,Corrected Sentence
அவன் பந்து சாப்பிடுகிறான்.,No Error,அவன் பந்து சாப்பிடுகிறான்.
நாம் பந்து படிக்கிறார்கள்.,Habitual Case,நாம் பந்து விளையாடுகிறோம்.
நான் பழத்தை சாப்பிடுகிறாள்.,Verb Tense,நான் பழத்தை படிக்கிறான்.
அவர்கள் பழத்தை செல்வேன்.,No Error,அவர்கள் பழத்தை செல்வேன்.
பார்வதி வீட்டில் சாப்பிடுகிறான்.,No Error,பார்வதி வீட்டில் சாப்பிடுகிறான்.
நான் வீட்டில் விளையாடுகிறான்.,Verb Tense,நான் வீட்டில் படிக்கிறான்.
நாம் வீட்டில் விளையாடுகிறோம்.,No Error,நாம் வீட்டில் விளையாடுகிறோம்.
அவர்கள் பள்ளிக்கு விளையாடுகிறோம்.,No Error,அவர்கள் பள்ளிக்கு விளையாடுகிறோம்.
அவள் பாடத்தை சாப்பிடுவாள்.,Verb Tense,அவள் பாடத்தை படிக்கிறாள்.
நாம் வீட்டில் படிக்கிறார்கள்.,Spelling Error,நாம் வீட்டில் படிக்கிறான்.
அவள் புத்தகத்தை சாப்பிடுகிறான்.,No Error,அவள் புத்தகத்தை சாப்பிடுகிறான்.
நான் பந்து விளையாடுகிறான்.,Habitual Case,நான் பந்து படிக்கிறாள்.
நான் வீட்டில் செல்வேன்.,No Error,நான் வீட்டில் செல்வேன்.
அவர்கள் புத்தகத்தை படிக்கிறார்கள்.,Habitual Case,அவர்கள் புத்தகத்தை செல்வேன்.
நான் புத்தகத்தை விளையாடுகிறோம்.,No Error,நான் புத்தகத்தை விளையாடுகிறோம்.
